Risk,N_LAT,N_LON,C_MTCH_TYP
09FL99181239,26.115058,-80.140142,GP
09FL99224816,26.436031,-80.091651,FS
09FL99226607,26.466222,-80.07043,FS
09FL99230086,26.748574,-80.065974,FS
09FL99234324,27.909997,-82.766235,FS
10GA66006743,34.040073,-84.603663,FS
10GA99019423,34.089303,-84.257667,GP
10GA99034473,34.074508,-84.653946,FS
10GA99043466,32.137526,-81.234867,FS
10GA99051108,33.977869,-84.080194,FS
10GA99053623,33.81113,-84.434691,FS
10GA99386799,33.860115,-84.196709,FS
10GA99386801,34.224688,-84.480253,FS
100031389156,33.7879,-84.385059,FS
100111408866,34.193009,-84.498222,FS
100203018600,33.737314,-84.116994,GP
19MD99014519,39.092803,-77.134125,GP
19MD99019621,39.311401,-76.618118,FS
20MA99008383,42.159636,-70.858979,FS
202031053374,42.66871,-71.414345,FS
29NJ66018985,39.890352,-75.087829,FS
29NJ99025124,40.136402,-74.287093,FT
29NJ99027340,40.49945,-74.427412,FS
290026046236,40.889835,-74.102323,FS
31NY66019767,40.634403,-74.020769,FS
31NY66021323,40.677141,-73.968833,FS
31NY99019085,40.633696,-74.009945,FS
31NY99021363,40.63604,-74.008726,FS
310209331165,40.750986,-73.973404,FS
32NC99010870,35.337026,-80.838926,FS
32NC99035524,35.114766,-80.6965,FS
324102000730,36.094328,-79.541974,FS
39SC99023723,32.873752,-79.772255,FS
39SC99023727,32.873384,-79.772161,FS
39SC99023728,32.873193,-79.771839,FS
390400366253,34.003162,-81.034893,FS
42TX66003563,32.809486,-97.230433,GP
42TX66004286,32.799396,-97.380342,FS
42TX66004502,30.011673,-95.539872,FS
42TX66072492,29.516063,-98.632644,FS
42TX66091795,31.464469,-97.198705,FS
42TX66100062,33.196679,-96.617532,FT
42TX99012137,29.705312,-95.553493,FS
42TX99478067,33.097606,-96.812278,FS
42TX99486573,29.61952,-95.222141,FS
42TX99498913,29.543258,-95.224268,FS
42TX99507321,32.749245,-96.666291,FS
42TX99518122,29.774831,-95.14246,FS
42TX99520191,29.850858,-95.683694,GP
42TX99528344,33.152558,-96.865487,FS
42TX99530312,30.592761,-96.330899,FS
42TX99533449,33.461126,-94.081994,FS
42TX99534678,29.444106,-98.659724,FS
42TX99536503,33.07244,-96.823673,FS
42TX99551445,29.772622,-95.398876,FS
42TX99558209,29.570204,-98.326869,FS
42TX99818816,32.531397,-96.806216,FS
42TX99820152,32.354733,-97.367701,FS
420001157011,29.72419,-95.463577,FS
420001419116,29.6127,-95.410348,FS
45VA66011598,37.649025,-77.584601,FS
45VA99146691,36.726988,-79.917957,FS
450196040070,37.564857,-77.458507,FS
